Chemical Name,CAS RN,Hazardous_Traits
"Distillates (petroleum), steam-cracked, C5-12 fraction",68477-53-2,Carcinogenicity
"Distillates (petroleum), steam-cracked, C5-12 fraction",68477-53-2,Genotoxicity
"Distillates (petroleum), steam-cracked, C8-12 fraction, polymd., distn. lights",95009-23-7,Carcinogenicity
"Distillates (petroleum), steam-cracked, C8-12 fraction, polymd., distn. lights",95009-23-7,Genotoxicity
"Distillates (petroleum), straight-run light",68410-05-9,Carcinogenicity
"Distillates (petroleum), straight-run light",68410-05-9,Genotoxicity
"Distillates (petroleum), sweetened middle",64741-86-2,Carcinogenicity
"Distillates (petroleum), thermal cracked naphtha and gas oil",68603-00-9,Carcinogenicity
"Distillates (petroleum), thermal cracked naphtha and gas oil",68603-00-9,Genotoxicity
"Distillates (petroleum), thermal cracked naphtha and gas oil, C5-dimer-contg.",68603-01-0,Carcinogenicity
"Distillates (petroleum), thermal cracked naphtha and gas oil, C5-dimer-contg.",68603-01-0,Genotoxicity
"Distillates (petroleum), thermal cracked naphtha and gas oil, extractive",68603-03-2,Carcinogenicity
"Distillates (petroleum), thermal cracked naphtha and gas oil, extractive",68603-03-2,Genotoxicity
"Distillates (petroleum), vacuum",70592-78-8,Bioaccumulation
"Distillates (petroleum), vacuum",70592-78-8,Carcinogenicity
"Distillates (petroleum), vacuum",70592-78-8,Environmental Persistence
Disulphoton,298-04-4,Developmental Toxicity
Disulphoton,298-04-4,Environmental tox
Disulphoton,298-04-4,Neurotoxicity
Diundecyl phthalate,3648-20-2,Carcinogenicity
Diundecyl phthalate,3648-20-2,Developmental Toxicity
Diundecyl phthalate,3648-20-2,Endocrine Toxicity
Diundecyl phthalate,3648-20-2,Immunotoxicity
Diundecyl phthalate,3648-20-2,Reproductive Toxicity
Diundecyl phthalate,3648-20-2,Respiratory Toxicity
Diuron,330-54-1,Carcinogenicity
Diuron,330-54-1,Environmental tox
Dodecamethylcyclohexasiloxane (D6),540-97-6,Bioaccumulation
Dodecamethylcyclohexasiloxane (D6),540-97-6,Endocrine Toxicity
Dodecamethylcyclohexasiloxane (D6),540-97-6,Environmental Persistence
Dodecamethylcyclohexasiloxane (D6),540-97-6,Hepatotoxicity and Digestive System Toxicity
Dodecamethylcyclohexasiloxane (D6),540-97-6,Reproductive Toxicity
Doxorubicin hydrochloride (Adriamycin),25316-40-9,Carcinogenicity
Doxorubicin hydrochloride (Adriamycin),25316-40-9,Developmental Toxicity
Doxorubicin hydrochloride (Adriamycin),25316-40-9,Reproductive Toxicity
Doxycycline,564-25-0,Developmental Toxicity
Doxycycline calcium (internal use),94088-85-4,Developmental Toxicity
Doxycycline hyclate (internal use),24390-14-5,Developmental Toxicity
Doxycycline monohydrate (internal use),17086-28-1,Developmental Toxicity
Endosulfan,115-29-7,Bioaccumulation
Endosulfan,115-29-7,Environmental Persistence
Endosulfan,115-29-7,Environmental tox
Endosulfan,115-29-7,Neurotoxicity
Endosulfan (beta),33213-65-9,Bioaccumulation
Endosulfan (beta),33213-65-9,Environmental Persistence
Endosulfan I,959-98-8,Bioaccumulation
Endosulfan I,959-98-8,Environmental Persistence
Endosulfan I,959-98-8,Neurotoxicity
Endosulfan Sulfate,1031-07-8,Nephrotoxicity and Other Toxicity to the Urinary System
Endosulfan Sulfate,1031-07-8,Neurotoxicity
Endothal,145-73-3,Hepatotoxicity and Digestive System Toxicity
Endrin,72-20-8,Bioaccumulation
Endrin,72-20-8,Developmental Toxicity
Endrin,72-20-8,Environmental Persistence
Endrin,72-20-8,Hepatotoxicity and Digestive System Toxicity
Endrin,72-20-8,Nephrotoxicity and Other Toxicity to the Urinary System
Endrin,72-20-8,Neurotoxicity
Endrin Aldehyde,7421-93-4,Hepatotoxicity and Digestive System Toxicity
Endrin Aldehyde,7421-93-4,Neurotoxicity
Epichlorohydrin,106-89-8,Carcinogenicity
Epichlorohydrin,106-89-8,Ocular Toxicity
Epichlorohydrin,106-89-8,Reproductive Toxicity
Epichlorohydrin,106-89-8,Respiratory Toxicity
Epoxiconazole,135319-73-2,Carcinogenicity
Epoxiconazole,135319-73-2,Reproductive Toxicity
Ergotamine tartrate,379-79-3,Developmental Toxicity
Erionite,12510-42-8,Carcinogenicity
Erionite, 66733-21-9,Carcinogenicity
Esfenvalerate,66230-04-4,Environmental tox
Estradiol 17beta,50-28-2,Carcinogenicity
Estragole,140-67-0,Carcinogenicity
Estrone,53-16-7,Carcinogenicity
Estropipate,7280-37-7,Carcinogenicity
Estropipate,7280-37-7,Developmental Toxicity
Etacelasil (ISO),37894-46-5,Reproductive Toxicity
"Ethanamine, N-ethyl-N-hydroxy-, reaction products with hexamethylcyclotrisiloxane, silica and 1,1,1-trimethyl-N-(trimethylsilyl)silanamine",68583-58-4,Bioaccumulation
"Ethanamine, N-ethyl-N-hydroxy-, reaction products with hexamethylcyclotrisiloxane, silica and 1,1,1-trimethyl-N-(trimethylsilyl)silanamine",68583-58-4,Environmental Persistence
"Ethanaminium, N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",1310480-24-0,Bioaccumulation
"Ethanaminium, N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",1310480-24-0,Environmental Persistence
"Ethanol, 2,2'-[[3-chloro-4-[(2,6-dichloro- 4-nitrophenyl)azo]phenyl]imino]bis-",23355-64-8,Bioaccumulation
"Ethanol, 2,2'-[[3-chloro-4-[(2,6-dichloro- 4-nitrophenyl)azo]phenyl]imino]bis-",23355-64-8,Environmental Persistence
"Ethanol, 2,2'-[[4-[(2,6-dibromo-4- nitrophenyl)azo]phenyl]imino]bis-, diacetate (ester)",55619-18-6,Bioaccumulation
"Ethanol, 2,2'-[[4-[(2,6-dibromo-4- nitrophenyl)azo]phenyl]imino]bis-, diacetate (ester)",55619-18-6,Environmental Persistence
"Ethanol, 2,2'-[[4-[(2-bromo-6-chloro- 4-nitrophenyl)azo]-3-chlorophenyl]imino]bis-",17464-91-4,Bioaccumulation
"Ethanol, 2,2'-[[4-[(2-bromo-6-chloro- 4-nitrophenyl)azo]-3-chlorophenyl]imino]bis-",17464-91-4,Environmental Persistence
"Ethanol, 2,2'-iminobis-, N-(C13-15-branched and linear alkyl) derivs.",97925-95-6,Reproductive Toxicity
"Ethanol, 2-[[4-[(2,6-dichloro-4-nitrophenyl) azo]phenyl]methylamino]-",6232-56-0,Bioaccumulation
"Ethanol, 2-[[4-[(2,6-dichloro-4-nitrophenyl) azo]phenyl]methylamino]-",6232-56-0,Environmental Persistence
Ethinylestradiol,57-63-6,Carcinogenicity
Ethion,563-12-2,Developmental Toxicity
Ethion,563-12-2,Neurotoxicity
Ethionamide,536-33-4,Developmental Toxicity
Ethoprop,13194-48-4,Carcinogenicity
Ethoprop,13194-48-4,Environmental tox
"Ethyl 1-(2,4-dichlorophenyl)-5-(trichloromethyl)-1H-1,2,4-triazole-3-carboxylate",103112-35-2,Carcinogenicity
Ethyl 2-(isocyanatosulfonyl)benzoate,77375-79-2,Respiratory Toxicity
Ethyl acrylate,140-88-5,Carcinogenicity
Ethyl acrylate,140-88-5,Hepatotoxicity and Digestive System Toxicity
Ethyl acrylate,140-88-5,Neurotoxicity
Ethyl acrylate,140-88-5,Respiratory Toxicity
Ethyl dipropylthiocarbamate,759-94-4,Developmental Toxicity
"Ethyl hydrogen sulfate, nickel(II) salt",71720-48-4,Carcinogenicity
"Ethyl hydrogen sulfate, nickel(II) salt",71720-48-4,Reproductive Toxicity
"Ethyl hydrogen sulfate, nickel(II) salt",71720-48-4,Respiratory Toxicity
Ethyl methanesulfonate,62-50-0,Carcinogenicity
Ethyl paraben,120-47-8,Endocrine Toxicity
Ethyl paraben,120-47-8,Reproductive Toxicity
Ethyl p-nitrophenyl phenylphosphorothioate (EPN),2104-64-5,Environmental tox
Ethyl p-nitrophenyl phenylphosphorothioate (EPN),2104-64-5,Neurotoxicity
"Ethyl-4,4'-dichlorobenzilate",510-15-6,Carcinogenicity
Ethylbenzene,100-41-4,Carcinogenicity
Ethylbenzene,100-41-4,Developmental Toxicity
Ethylbenzene,100-41-4,Endocrine Toxicity
Ethylbenzene,100-41-4,Hepatotoxicity and Digestive System Toxicity
Ethylbenzene,100-41-4,Nephrotoxicity and Other Toxicity to the Urinary System
Ethylbenzene,100-41-4,Neurotoxicity
Ethylbenzene,100-41-4,Ocular Toxicity
Ethylbenzene,100-41-4,Respiratory Toxicity
Ethylene dichloride,107-06-2,Carcinogenicity
Ethylene dichloride,107-06-2,Cardiovascular Toxicity
Ethylene dichloride,107-06-2,Dermatotoxicity
Ethylene dichloride,107-06-2,Hepatotoxicity and Digestive System Toxicity
Ethylene dichloride,107-06-2,Nephrotoxicity and Other Toxicity to the Urinary System
Ethylene dichloride,107-06-2,Neurotoxicity
Ethylene Glycol,107-21-1,Developmental Toxicity
Ethylene Glycol,107-21-1,Nephrotoxicity and Other Toxicity to the Urinary System
Ethylene Glycol,107-21-1,Neurotoxicity
Ethylene Glycol,107-21-1,Ocular Toxicity
Ethylene Glycol,107-21-1,Respiratory Toxicity
Ethylene glycol monoethyl ether,110-80-5,Developmental Toxicity
Ethylene glycol monoethyl ether,110-80-5,Hematotoxicity
Ethylene glycol monoethyl ether,110-80-5,Reproductive Toxicity
Ethylene glycol monoethyl ether acetate,111-15-9,Developmental Toxicity
Ethylene glycol monoethyl ether acetate,111-15-9,Neurotoxicity
Ethylene glycol monoethyl ether acetate,111-15-9,Reproductive Toxicity
Ethylene glycol monomethyl ether,109-86-4,Developmental Toxicity
Ethylene glycol monomethyl ether,109-86-4,Reproductive Toxicity
Ethylene glycol monomethyl ether acetate,110-49-6,Developmental Toxicity
Ethylene glycol monomethyl ether acetate,110-49-6,Reproductive Toxicity
Ethylene oxide,75-21-8,Carcinogenicity
Ethylene oxide,75-21-8,Dermatotoxicity
Ethylene oxide,75-21-8,Developmental Toxicity
Ethylene oxide,75-21-8,Genotoxicity
Ethylene oxide,75-21-8,Hematotoxicity
Ethylene oxide,75-21-8,Neurotoxicity
Ethylene oxide,75-21-8,Reproductive Toxicity
Ethylene oxide,75-21-8,Respiratory Toxicity
Ethylene Thiourea,96-45-7,Carcinogenicity
Ethylene Thiourea,96-45-7,Developmental Toxicity
Ethylene Thiourea,96-45-7,Reproductive Toxicity
Ethylenediamine,107-15-3,Respiratory Toxicity
Ethyl-tert-butyl ether,637-92-3,Reproductive Toxicity
Etodolac,41340-25-4,Developmental Toxicity
Etodolac,41340-25-4,Reproductive Toxicity
Etoposide,33419-42-0,Carcinogenicity
Etoposide,33419-42-0,Developmental Toxicity
Etretinate,54350-48-0,Developmental Toxicity
Eucalyptus Globulus Oil,97926-40-4,Fragrance Allergen
Eucalyptus Globulus Oil, 8000-48-4,Fragrance Allergen
Eugenia Caryophyllus Oil,8000-34-8,Fragrance Allergen
Eugenia Caryophyllus Oil,  8015-97-2,Fragrance Allergen
Eugenia Caryophyllus Oil, 84961-50-2,Fragrance Allergen
"Extract oils (coal), acidic, tar-base free",84989-12-8,Carcinogenicity
"Extract oils (coal), acidic, tar-base free",84989-12-8,Genotoxicity
"Extract oils (coal), coal tar residual pyrolysis oils, naphthalene oil, distn. residues",122070-80-8,Carcinogenicity
"Extract oils (coal), coal tar residual pyrolysis oils, naphthalene oil, distn. residues",122070-80-8,Genotoxicity
"Extract oils (coal), coal tar-residual pyrolysis oils, naphthalene oil, redistillate",91995-66-3,Carcinogenicity
"Extract oils (coal), coal tar-residual pyrolysis oils, naphthalene oil, redistillate",91995-66-3,Genotoxicity
"Extract oils (coal), coal tar-residual pyrolysis oils, naphthalene oils",122070-79-5,Carcinogenicity
"Extract oils (coal), coal tar-residual pyrolysis oils, naphthalene oils",122070-79-5,Genotoxicity
"Extract oils (coal), light oil",90640-99-6,Carcinogenicity
"Extract oils (coal), light oil",90640-99-6,Genotoxicity
"Extract oils (coal), naphthalene oils",90641-00-2,Carcinogenicity
"Extract oils (coal), naphthalene oils",90641-00-2,Genotoxicity
"Extract oils (coal), tar base",65996-86-3,Carcinogenicity
"Extract oils (coal), tar base",65996-86-3,Genotoxicity
"Extract oils (coal), tar base, collidine fraction",68937-63-3,Carcinogenicity
"Extract oils (coal), tar base, collidine fraction",68937-63-3,Genotoxicity
"Extract residues (coal tar), benzole fraction alk., acid ext.",101316-63-6,Carcinogenicity
"Extract residues (coal tar), benzole fraction alk., acid ext.",101316-63-6,Genotoxicity
"Extract residues (coal), benzole fraction acid",93821-38-6,Carcinogenicity
"Extract residues (coal), benzole fraction acid",93821-38-6,Genotoxicity
"Extract residues (coal), benzole fraction alk., acid ext.",91995-61-8,Carcinogenicity
"Extract residues (coal), benzole fraction alk., acid ext.",91995-61-8,Genotoxicity
"Extract residues (coal), brown",91697-23-3,Carcinogenicity
"Extract residues (coal), creosote oil acid",122384-77-4,Carcinogenicity
"Extract residues (coal), light oil alk., acid ext.",90641-01-3,Carcinogenicity
"Extract residues (coal), light oil alk., acid ext.",90641-01-3,Genotoxicity
"Extract residues (coal), light oil alk., acid ext., indene fraction",101316-62-5,Carcinogenicity
"Extract residues (coal), light oil alk., acid ext., indene fraction",101316-62-5,Genotoxicity
"Extract residues (coal), light oil alk., distn. overheads",90641-02-4,Carcinogenicity
"Extract residues (coal), light oil alk., distn. overheads",90641-02-4,Genotoxicity
"Extract residues (coal), light oil alk., indene naphtha fraction",90641-03-5,Carcinogenicity
"Extract residues (coal), light oil alk., indene naphtha fraction",90641-03-5,Genotoxicity
"Extract residues (coal), low temp. coal atar alk.",122384-78-5,Carcinogenicity
"Extract residues (coal), low temp. coal atar alk.",122384-78-5,Genotoxicity
"Extract residues (coal), naphthalene oil alk., distn. overheads",90641-04-6,Carcinogenicity
"Extract residues (coal), naphthalene oil alk., distn. overheads",90641-04-6,Genotoxicity
"Extract residues (coal), naphthalene oil alk., distn. residues",90641-05-7,Carcinogenicity
"Extract residues (coal), naphthalene oil alk., distn. residues",90641-05-7,Genotoxicity
"Extract residues (coal), naphthalene oil, alk.",121620-47-1,Carcinogenicity
"Extract residues (coal), naphthalene oil, alk.",121620-47-1,Genotoxicity
"Extract residues (coal), naphthalene oil, alk., naphthalene-low",121620-48-2,Carcinogenicity
"Extract residues (coal), naphthalene oil, alk., naphthalene-low",121620-48-2,Genotoxicity
"Extract residues (coal), tar oil alk.",65996-87-4,Carcinogenicity
"Extract residues (coal), tar oil alk.",65996-87-4,Genotoxicity
"Extract residues (coal), tar oil alk., carbonated, limed",90641-06-8,Carcinogenicity
"Extract residues (coal), tar oil alk., carbonated, limed",90641-06-8,Genotoxicity
"Extract residues (coal), tar oil alk., naphthalene distn. residues",73665-18-6,Carcinogenicity
"Extract residues (coal), tar oil alk., naphthalene distn. residues",73665-18-6,Genotoxicity
"Extracts (petroleum) heavy naphtha solvent, clay-treated",97926-43-7,Carcinogenicity
"Extracts (petroleum) heavy naphtha solvent, clay-treated",97926-43-7,Genotoxicity
"Extracts (petroleum), catalytic reformed light naphtha solvent",91995-68-5,Carcinogenicity
"Extracts (petroleum), catalytic reformed light naphtha solvent",91995-68-5,Genotoxicity
"Extracts (petroleum), cold-acid, C4-6",68477-61-2,Carcinogenicity
"Extracts (petroleum), cold-acid, C4-6",68477-61-2,Genotoxicity
"Extracts (petroleum), heavy naphthenic distillate solvent",64742-11-6,Carcinogenicity
"Extracts (petroleum), heavy naphthenic distillate solvent, arom. conc.",68783-00-6,Carcinogenicity
"Extracts (petroleum), heavy naphthenic distillate solvent, hydrodesulfurized",93763-10-1,Carcinogenicity
"Extracts (petroleum), heavy naphthenic distillate solvent, hydrotreated",90641-07-9,Carcinogenicity
"Extracts (petroleum), heavy paraffinic distillate solvent",64742-04-7,Carcinogenicity
"Extracts (petroleum), heavy paraffinic distillate solvent, clay-treated",92704-08-0,Carcinogenicity
"Extracts (petroleum), heavy paraffinic distillate solvent, hydrotreated",90641-08-0,Carcinogenicity
"Extracts (petroleum), heavy paraffinic distillates, solvent-deasphalted",68814-89-1,Carcinogenicity
"Extracts (petroleum), hydrotreated light paraffinic distillate solvent",91995-73-2,Carcinogenicity
"Extracts (petroleum), light naphthenic distillate solvent",64742-03-6,Carcinogenicity
"Extracts (petroleum), light naphthenic distillate solvent, hydrodesulfurized",91995-75-4,Carcinogenicity
"Extracts (petroleum), light paraffinic distillate solvent",64742-05-8,Carcinogenicity
"Extracts (petroleum), light paraffinic distillate solvent, acid-treated",91995-76-5,Carcinogenicity
"Extracts (petroleum), light paraffinic distillate solvent, carbon-treated",100684-02-4,Carcinogenicity
"Extracts (petroleum), light paraffinic distillate solvent, clay-treated",100684-03-5,Carcinogenicity
"Extracts (petroleum), light paraffinic distillate solvent, hydrodesulfurized",91995-77-6,Carcinogenicity
"Extracts (petroleum), light paraffinic distillate solvent, hydrotreated",90641-09-1,Carcinogenicity
"Extracts (petroleum), light vacuum gas oil solvent",91995-78-7,Carcinogenicity
"Extracts (petroleum), light vacuum gas oil solvent, clay-treated",100684-05-7,Carcinogenicity
"Extracts (petroleum), light vacuum gas oil solvent, hydrotreated",91995-79-8,Carcinogenicity
"Extracts (petroleum), light vacuum, gas oil solvent, carbon-treated",100684-04-6,Carcinogenicity
"Extracts (petroleum), solvent-dewaxed heavy paraffinic distillate solvent, hydrodesulfurized",93763-11-2,Carcinogenicity
"Extracts (petroleum), solvent-refined heavy paraffinic distillate solvent",68783-04-0,Carcinogenicity
"Extracts, coal tar oil alk.",65996-83-0,Carcinogenicity
"Extracts, coal tar oil alk.",65996-83-0,Genotoxicity
"Fatty acids, C6-19-branched, nickel salts",91697-41-5,Carcinogenicity
"Fatty acids, C6-19-branched, nickel salts",91697-41-5,Reproductive Toxicity
"Fatty acids, C6-19-branched, nickel salts",91697-41-5,Respiratory Toxicity
"Fatty acids, C6-19-branched, zinc salts",68551-44-0,Bioaccumulation
"Fatty acids, C6-19-branched, zinc salts",68551-44-0,Environmental Persistence
"Fatty acids, C8-18 and C18-unsaturated, nickel salts",84776-45-4,Carcinogenicity
"Fatty acids, C8-18 and C18-unsaturated, nickel salts",84776-45-4,Reproductive Toxicity
"Fatty acids, C8-18 and C18-unsaturated, nickel salts",84776-45-4,Respiratory Toxicity
"Fatty acids, tallow, hydrogenated, [6-[bis(methoxymethyl)amino] -1,3,5-triazine-2,4-diyl]bis[[(methoxymethyl)imino ]methylene] ester",103331-97-1,Bioaccumulation
"Fatty acids, tallow, hydrogenated, [6-[bis(methoxymethyl)amino] -1,3,5-triazine-2,4-diyl]bis[[(methoxymethyl)imino ]methylene] ester",103331-97-1,Environmental Persistence
"Fatty acids, tallow, hydrogenated, hexaesters with 2-[[[4-[[[2-hydroxy-1-(hydroxymethyl) ethoxy]methyl](hydroxymethyl)amino]-6 -[(hydroxymethyl)(methoxymethyl)amino]-1,3,5-triazi n-2-yl](methoxymethyl)amino]methoxy]-1,3-propanediol",103331-98-2,Bioaccumulation
"Fatty acids, tallow, hydrogenated, hexaesters with 2-[[[4-[[[2-hydroxy-1-(hydroxymethyl) ethoxy]methyl](hydroxymethyl)amino]-6 -[(hydroxymethyl)(methoxymethyl)amino]-1,3,5-triazi n-2-yl](methoxymethyl)amino]methoxy]-1,3-propanediol",103331-98-2,Environmental Persistence
Fenitrothion,122-14-5,Developmental Toxicity
Fenitrothion,122-14-5,Neurotoxicity
Fenoxaprop ethyl,66441-23-4,Developmental Toxicity
Fenoxycarb,72490-01-8,Carcinogenicity
Fenpropathrin,39515-41-8,Developmental Toxicity
Fenpropathrin,39515-41-8,Endocrine Toxicity
Fenpropathrin,39515-41-8,Neurotoxicity
Fenpropathrin,39515-41-8,Reproductive Toxicity
Fensulfothion,115-90-2,Environmental tox
Fenthion,55-38-9,Developmental Toxicity
Fenthion,55-38-9,Environmental tox
Fenthion,55-38-9,Neurotoxicity
Ferric sulfate,10028-22-5,Respiratory Toxicity
Ficin,9001-33-6,Respiratory Toxicity
Filgrastim,121181-53-1,Developmental Toxicity
Firemaster FF-1,67774-32-7,Carcinogenicity
flocoumafen (ISO),90035-08-8,Reproductive Toxicity
Fluazifop butyl,69806-50-4,Developmental Toxicity
Fluazifop butyl,69806-50-4,Reproductive Toxicity
Flumioxazin (ISO),103361-09-7,Reproductive Toxicity
Flunisolide,3385-03-3,Developmental Toxicity
Flunisolide,3385-03-3,Reproductive Toxicity
Fluoranthene,206-44-0,Bioaccumulation
Fluoranthene,206-44-0,Environmental Persistence
Fluoranthene,206-44-0,Hematotoxicity
Fluoranthene,206-44-0,Hepatotoxicity and Digestive System Toxicity
Fluoranthene,206-44-0,Nephrotoxicity and Other Toxicity to the Urinary System
Fluorene,86-73-7,Bioaccumulation
Fluorene,86-73-7,Environmental Persistence
Fluorene,86-73-7,Hematotoxicity
Fluoride (ion),16984-48-8,Musculoskeletal Toxicity
Fluorouracil,51-21-8,Developmental Toxicity
Fluoxymesterone,76-43-7,Developmental Toxicity
Flurazepam hydrochloride,1172-18-5,Developmental Toxicity
Flurbiprofen,5104-49-4,Developmental Toxicity
Flurbiprofen,5104-49-4,Reproductive Toxicity
Flurochloridone,61213-25-0,Reproductive Toxicity
Flusilazole,85509-19-9,Reproductive Toxicity
Flutamide,13311-84-7,Developmental Toxicity
Fluticasone propionate,80474-14-2,Developmental Toxicity
Fluvalinate,69409-94-5,Developmental Toxicity
Fluvalinate,69409-94-5,Environmental tox
Folpet,133-07-3,Carcinogenicity
Foots oil (petroleum),64742-67-2,Carcinogenicity
"Foots oil (petroleum), acid-treated",93924-31-3,Carcinogenicity
"Foots oil (petroleum), carbon-treated",97862-76-5,Carcinogenicity
"Foots oil (petroleum), clay-treated",93924-32-4,Carcinogenicity
"Foots oil (petroleum), hydrotreated",92045-12-0,Carcinogenicity
"Foots oil (petroleum), silicic acid-treated",97862-77-6,Carcinogenicity
Formaldehyde,50-00-0,Carcinogenicity
Formaldehyde,50-00-0,Hepatotoxicity and Digestive System Toxicity
Formaldehyde,50-00-0,Neurotoxicity
Formaldehyde,50-00-0,Ocular Toxicity
Formaldehyde,50-00-0,Respiratory Toxicity
"Formaldehyde, reaction products with branched and linear heptylphenol, carbon disulfide and hydrazine",93925-00-9,Endocrine Toxicity
"Formaldehyde, reaction products with branched nonylphenol and xylenol, ethoxylated",104376-69-4,Bioaccumulation
"Formaldehyde, reaction products with branched nonylphenol and xylenol, ethoxylated",104376-69-4,Environmental Persistence
"Formaldehyde, reaction products with sulfonated 1,1'-biphenyl and sulfonated terphenyl, sodium salts",113163-36-3,Bioaccumulation
"Formaldehyde, reaction products with sulfonated 1,1'-biphenyl and sulfonated terphenyl, sodium salts",113163-36-3,Environmental Persistence
Formamide,75-12-7,Reproductive Toxicity
"Formic acid, copper nickel salt",68134-59-8,Carcinogenicity
"Formic acid, copper nickel salt",68134-59-8,Reproductive Toxicity
"Formic acid, copper nickel salt",68134-59-8,Respiratory Toxicity
"Formic acid, nickel salt",15843-02-4,Carcinogenicity
"Formic acid, nickel salt",15843-02-4,Reproductive Toxicity
"Formic acid, nickel salt",15843-02-4,Respiratory Toxicity
Fuel gases,68476-26-6,Carcinogenicity
Fuel gases,68476-26-6,Genotoxicity
"Fuel gases, crude oil of distillates",68476-29-9,Carcinogenicity
"Fuel gases, crude oil of distillates",68476-29-9,Genotoxicity
Fuel oil No 2,68476-30-2,Environmental tox
"Fuel oil, heavy, high-sulfur",92045-14-2,Carcinogenicity
"Fuel oil, No 6",68553-00-4,Bioaccumulation
"Fuel oil, No 6",68553-00-4,Carcinogenicity
"Fuel oil, No 6",68553-00-4,Environmental Persistence
"Fuel oil, No 6",68553-00-4,Environmental tox
"Fuel oil, no. 4",68476-31-3,Bioaccumulation
"Fuel oil, no. 4",68476-31-3,Environmental Persistence
"Fuel oil, residual",68476-33-5,Carcinogenicity
"Fuel oil, residues-straight-run gas oils, high-sulfur",68476-32-4,Carcinogenicity
Fumonisin B1,116355-83-0,Carcinogenicity
Furazolidone,67-45-8,Carcinogenicity
Furfuryl alcohol,98-00-0,Carcinogenicity
Furilazole,121776-33-8,Carcinogenicity
Furilazole,121776-33-8,Reproductive Toxicity
Furmecyclox,60568-05-0,Carcinogenicity
Fusarin C,79748-81-5,Carcinogenicity
Gallium arsenide,1303-00-0,Carcinogenicity
Gallium arsenide,1303-00-0,Reproductive Toxicity
"Gamma-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)",1329995-69-8,Bioaccumulation
"Gamma-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)",1329995-69-8,Environmental Persistence
gamma-hexabromocyclododecane,134237-52-8,Bioaccumulation
gamma-hexabromocyclododecane,134237-52-8,Environmental Persistence
Ganciclovir,82410-32-0,Carcinogenicity
Ganciclovir,82410-32-0,Developmental Toxicity
Ganciclovir,82410-32-0,Reproductive Toxicity
Ganciclovir sodium,107910-75-8,Developmental Toxicity
Ganciclovir sodium,107910-75-8,Reproductive Toxicity
Gas oils (oil sand) (and hydrotreated),128683-30-7,Bioaccumulation
Gas oils (oil sand) (and hydrotreated),128683-30-7,Environmental Persistence
"Gas oils (oil sand), hydrotreated",128683-29-4,Bioaccumulation
"Gas oils (oil sand), hydrotreated",128683-29-4,Environmental Persistence
"Gas oils (petroleum), acid-treated",64742-12-7,Carcinogenicity
"Gas oils (petroleum), chemically neutralized",64742-29-6,Carcinogenicity
"Gas oils (petroleum), full-range",128683-28-3,Bioaccumulation
"Gas oils (petroleum), full-range",128683-28-3,Environmental Persistence
"Gas oils (petroleum), heavy atmospheric",68783-08-4,Bioaccumulation
"Gas oils (petroleum), heavy atmospheric",68783-08-4,Carcinogenicity
"Gas oils (petroleum), heavy atmospheric",68783-08-4,Environmental Persistence
"Gas oils (petroleum), heavy vacuum",64741-57-7,Carcinogenicity
"Gas oils (petroleum), hydrodesulfurized",64742-79-6,Carcinogenicity
"Gas oils (petroleum), hydrodesulfurized coker heavy vacuum",85117-03-9,Carcinogenicity
"Gas oils (petroleum), hydrodesulfurized heavy vacuum",64742-86-5,Carcinogenicity
"Gas oils (petroleum), hydrodesulfurized light vacuum",64742-87-6,Bioaccumulation
"Gas oils (petroleum), hydrodesulfurized light vacuum",64742-87-6,Environmental Persistence
"Gas oils (petroleum), hydrotreated vacuum",64742-59-2,Bioaccumulation
"Gas oils (petroleum), hydrotreated vacuum",64742-59-2,Carcinogenicity
"Gas oils (petroleum), hydrotreated vacuum",64742-59-2,Environmental Persistence
"Gas oils (petroleum), light vacuum",64741-58-8,Bioaccumulation
"Gas oils (petroleum), light vacuum",64741-58-8,Environmental Persistence
"Gas oils (petroleum), light vacuum, thermal-cracked hydrodesulfurized",97926-59-5,Carcinogenicity
"Gas oils (petroleum), solvent-refined",64741-90-8,Carcinogenicity
"Gas oils (petroleum), steam-cracked",68527-18-4,Carcinogenicity
"Gas oils (petroleum), thermal-cracked, hydrodesulfurized",92045-29-9,Carcinogenicity
"Gas oils, hydrotreated",97862-78-7,Carcinogenicity
"Gas oils, paraffinic",93924-33-5,Carcinogenicity
"Gases (petroleum), alkylation feed",68606-27-9,Carcinogenicity
"Gases (petroleum), alkylation feed",68606-27-9,Genotoxicity
"Gases (petroleum), amine system feed",68477-65-6,Carcinogenicity
"Gases (petroleum), amine system feed",68477-65-6,Genotoxicity
"Gases (petroleum), benzene unit hydrodesulfurizer off",68477-66-7,Carcinogenicity
